variant,segment_id,translation_p95_mm,translation_median_mm
Arrival-Hold,head_motion_01,33.599648605837345,11.956629905299115
Arrival-Hold,head_motion_02,27.769686005632845,9.48392239950685
Arrival-Hold,head_motion_03,16.53965049599361,8.514007930469463
Arrival-Hold,head_motion_04,16.70448425213161,7.7221030523758705
Capture-Hold,head_motion_01,10.052475153085574,5.1828643988105085
Capture-Hold,head_motion_02,6.936400010806706,4.3649082192332775
Capture-Hold,head_motion_03,8.821429824936237,4.0496914721510535
Capture-Hold,head_motion_04,8.325443131242102,4.237233013473971
One-Euro Anchor,head_motion_01,9.121869916051907,4.770834984740273
One-Euro Anchor,head_motion_02,6.30712385934321,3.8950332640662735
One-Euro Anchor,head_motion_03,8.54397055077234,3.666665049612234
One-Euro Anchor,head_motion_04,8.00154288166211,4.203271700989754
EgoAnchor,head_motion_01,6.460055436376781,3.688212567319855
EgoAnchor,head_motion_02,2.79387454405061,2.3326785439579365
EgoAnchor,head_motion_03,3.496730951704157,2.801479306630504
EgoAnchor,head_motion_04,3.8615412850934416,3.220359187487808
EgoAnchor w/o capture-time alignment,head_motion_01,31.55222748774338,5.106394351349193
EgoAnchor w/o capture-time alignment,head_motion_02,13.042149931954972,4.1708015450395175
EgoAnchor w/o capture-time alignment,head_motion_03,4.417747489290183,3.3271224345669976
EgoAnchor w/o capture-time alignment,head_motion_04,3.5004697427778484,3.0685710903901904
EgoAnchor w/o StaticLock,head_motion_01,9.795146129288607,5.008727755291428
EgoAnchor w/o StaticLock,head_motion_02,6.872211482185024,4.333896195701541
EgoAnchor w/o StaticLock,head_motion_03,8.925745030220865,3.834194876555744
EgoAnchor w/o StaticLock,head_motion_04,8.333842020996153,4.292855033114795
