property,scenario,metric,unit,variant,median,q1,q3
world_consistency,static_head_motion,translation_event_p95,mm,Arrival-Hold,22.237,16.663,29.227
world_consistency,static_head_motion,translation_event_p95,mm,Capture-Hold,8.573,7.978,9.129
world_consistency,static_head_motion,translation_event_p95,mm,One-Euro Anchor,8.273,7.578,8.688
world_consistency,static_head_motion,translation_event_p95,mm,EgoAnchor,3.679,3.321,4.511
rest_stability,static_head_motion,position_hp_rms,mm,Arrival-Hold,3.404,3.044,3.914
rest_stability,static_head_motion,position_hp_rms,mm,Capture-Hold,2.199,1.255,3.276
rest_stability,static_head_motion,position_hp_rms,mm,One-Euro Anchor,0.812,0.516,1.170
rest_stability,static_head_motion,position_hp_rms,mm,EgoAnchor,0.030,0.028,0.349
transition,start_stop_6dof,visible_response,ms,Arrival-Hold,126.344,102.415,131.654
transition,start_stop_6dof,visible_response,ms,Capture-Hold,250.290,167.840,291.354
transition,start_stop_6dof,visible_response,ms,One-Euro Anchor,333.325,250.290,382.728
transition,start_stop_6dof,visible_response,ms,EgoAnchor,751.053,689.610,791.083
dynamic_fidelity,continuous_translation,effective_lag,ms,Arrival-Hold,182.5,175.0,197.5
dynamic_fidelity,continuous_translation,effective_lag,ms,Capture-Hold,255.0,250.0,260.0
dynamic_fidelity,continuous_translation,effective_lag,ms,One-Euro Anchor,387.5,380.0,397.5
dynamic_fidelity,continuous_translation,effective_lag,ms,EgoAnchor,325.0,315.0,335.0
dynamic_fidelity,continuous_translation,lag_aligned_residual,mm,Arrival-Hold,10.568,,
dynamic_fidelity,continuous_translation,lag_aligned_residual,mm,Capture-Hold,10.729,,
dynamic_fidelity,continuous_translation,lag_aligned_residual,mm,One-Euro Anchor,10.726,,
dynamic_fidelity,continuous_translation,lag_aligned_residual,mm,EgoAnchor,5.697,,
dynamic_fidelity,continuous_rotation,effective_angular_lag,ms,Arrival-Hold,265,265,265
dynamic_fidelity,continuous_rotation,effective_angular_lag,ms,Capture-Hold,265,265,265
dynamic_fidelity,continuous_rotation,effective_angular_lag,ms,One-Euro Anchor,370,355,375
dynamic_fidelity,continuous_rotation,effective_angular_lag,ms,EgoAnchor,350,350,357.5
dynamic_fidelity,continuous_rotation,lag_aligned_angular_residual,deg,Arrival-Hold,2.917,,
dynamic_fidelity,continuous_rotation,lag_aligned_angular_residual,deg,Capture-Hold,2.909,,
dynamic_fidelity,continuous_rotation,lag_aligned_angular_residual,deg,One-Euro Anchor,7.858,,
dynamic_fidelity,continuous_rotation,lag_aligned_angular_residual,deg,EgoAnchor,3.620,,
failure_containment,occlusion_recovery,occlusion_translation_p95,mm,Arrival-Hold,35.303,18.187,44.884
failure_containment,occlusion_recovery,occlusion_translation_p95,mm,Capture-Hold,34.095,17.331,43.583
failure_containment,occlusion_recovery,occlusion_translation_p95,mm,One-Euro Anchor,12.999,6.903,19.628
failure_containment,occlusion_recovery,occlusion_translation_p95,mm,EgoAnchor,1.822,1.598,2.272
