variant,event_id,translation_p95_mm,translation_median_mm
Arrival-Hold,event_001,33.599648605837345,11.956629905299115
Arrival-Hold,event_002,27.769686005632845,9.48392239950685
Arrival-Hold,event_003,16.53965049599361,8.514007930469463
Arrival-Hold,event_004,16.70448425213161,7.7221030523758705
Capture-Hold,event_001,10.052475153085574,5.1828643988105085
Capture-Hold,event_002,6.936400010806706,4.3649082192332775
Capture-Hold,event_003,8.821429824936237,4.0496914721510535
Capture-Hold,event_004,8.325443131242102,4.237233013473971
One-Euro Anchor,event_001,9.121869916051907,4.770834984740273
One-Euro Anchor,event_002,6.30712385934321,3.8950332640662735
One-Euro Anchor,event_003,8.54397055077234,3.666665049612234
One-Euro Anchor,event_004,8.00154288166211,4.203271700989754
EgoAnchor,event_001,6.460055436376781,3.688212567319855
EgoAnchor,event_002,2.79387454405061,2.3326785439579365
EgoAnchor,event_003,3.496730951704157,2.801479306630504
EgoAnchor,event_004,3.8615412850934416,3.220359187487808
EgoAnchor w/o capture-time alignment,event_001,31.55222748774338,5.106394351349193
EgoAnchor w/o capture-time alignment,event_002,13.042149931954972,4.1708015450395175
EgoAnchor w/o capture-time alignment,event_003,4.417747489290183,3.3271224345669976
EgoAnchor w/o capture-time alignment,event_004,3.5004697427778484,3.0685710903901904
EgoAnchor w/o StaticLock,event_001,9.795146129288607,5.008727755291428
EgoAnchor w/o StaticLock,event_002,6.872211482185024,4.333896195701541
EgoAnchor w/o StaticLock,event_003,8.925745030220865,3.834194876555744
EgoAnchor w/o StaticLock,event_004,8.333842020996153,4.292855033114795
