variant,segment_id,absolute_p95_mm,centered_p95_mm,frame_increment_p95_mm,moving_ratio,error_center_x_mm,error_center_y_mm,error_center_z_mm
Arrival-Hold,event_001,28.231894424994447,30.433798310182112,6.042557057211847,0.9937646141855028,-1.6082898000000025,-4.366115000000004,3.3401000000000125
Arrival-Hold,event_002,23.512377167253902,23.761337005558754,4.013083656383213,0.995085995085995,-1.4342777,-5.274087999999982,3.7334270000000114
Arrival-Hold,event_003,19.17012783072602,17.40617433606737,3.506982793848973,1.0,-2.0057335000000025,-4.54732799999999,3.671438000000027
Arrival-Hold,event_004,14.363589315171842,17.619207082655333,2.1745299141136645,0.9960185799601858,-1.1993386000000021,-5.6132829999999965,6.131441000000015
Capture-Hold,event_001,19.197696202157665,22.30448833650083,3.6632338685786583,0.9867498051441933,-1.4279783000000004,-4.23246699999999,3.4532999999999925
Capture-Hold,event_002,13.678229383088613,8.418606998681634,2.3225207973255886,0.9934479934479934,-1.2923107000000003,-4.852295000000007,3.4770670000000004
Capture-Hold,event_003,12.835252304111377,12.298521404933528,2.438109010990303,0.9829250185597624,-1.667968900000004,-4.222423000000003,3.6844320000000153
Capture-Hold,event_004,12.205710544156485,9.367585002632794,1.0827088564041878,0.9893828798938288,-1.0398179000000036,-4.539623999999992,4.640340999999992
EgoAnchor,event_001,6.988620436745876,1.6753149283856572,0.08041462323429441,0.2883865939204988,-0.3480315000000053,-4.8795419999999865,3.639400000000015
EgoAnchor,event_002,6.799612711250188,1.2109808917567562,0.11212176351649407,0.3284193284193284,-1.4645756000000039,-4.366025999999995,3.5080619999999785
EgoAnchor,event_003,6.768438274487276,1.5868943813774492,0.08520841184726713,0.15219005196733482,-2.0768978000000047,-4.241123999999985,3.867100000000012
EgoAnchor,event_004,8.95904304097198,4.626545381695554,0.11129189704011919,0.030524220305242204,-1.4540456000000022,-3.4394120000000026,2.669364999999979
EgoAnchor w/o StaticLock,event_001,17.898995236466142,18.199500013146928,4.150987908839164,0.2883865939204988,-1.4199256000000036,-4.226177999999997,3.4170749999999916
EgoAnchor w/o StaticLock,event_002,13.373760414936294,8.155737738737136,1.0828098033668723,0.3284193284193284,-1.2764856000000018,-4.5936109999999974,3.4494999999999942
EgoAnchor w/o StaticLock,event_003,13.413107249295914,10.57483837923763,1.8225028514135642,0.15219005196733482,-1.6824956000000002,-4.228785999999984,3.6879479999999965
EgoAnchor w/o StaticLock,event_004,12.136587265224343,9.177794039753257,0.4651620103983294,0.030524220305242204,-1.0302700000000067,-4.397109999999982,4.43880000000002
EgoAnchor w/o VCD,event_001,6.948045249307119,1.6571327001161937,0.08035280976483433,0.2883865939204988,-0.3436692000000005,-4.87326099999999,3.6364799999999975
EgoAnchor w/o VCD,event_002,6.79827687400645,1.212328691771384,0.1127920141344071,0.3366093366093366,-1.4642256000000007,-4.36341799999998,3.5055580000000197
EgoAnchor w/o VCD,event_003,6.7666929605145425,1.5859696490041229,0.08523369362859239,0.15219005196733482,-2.0768121000000055,-4.237577999999992,3.866970999999997
EgoAnchor w/o VCD,event_004,8.959031963957,4.626605200076762,0.11128816226907229,0.030524220305242204,-1.4540356000000005,-3.4393080000000023,2.669364999999979
EgoAnchor w/o capture-time alignment,event_001,7.203951193464273,1.7863444580118235,0.0794906099086278,0.5455962587685113,0.6279609999999963,-5.820482999999987,3.611953000000001
EgoAnchor w/o capture-time alignment,event_002,6.966471995927955,1.2888770340171507,0.10805452967823034,0.5552825552825553,-0.8634556000000002,-5.21250099999998,3.4003559999999933
EgoAnchor w/o capture-time alignment,event_003,6.5248877775463825,1.6246740855958617,0.12648116879547466,0.21380846325167038,-0.1174882000000016,-4.656673,3.7058600000000053
EgoAnchor w/o capture-time alignment,event_004,9.46496431290533,3.2963325275415167,0.1132117039529988,0.059721300597213006,-1.0431707000000054,-4.4950699999999895,4.179717000000027
EgoAnchor w/o temporal synthesis,event_001,6.962600740856541,1.660639326810609,0.0803786596762093,0.9867498051441933,-0.34723560000000236,-4.874750999999983,3.639936999999982
EgoAnchor w/o temporal synthesis,event_002,6.798741172450564,1.2113008638301845,0.11214106870729926,0.9934479934479934,-1.4644302000000053,-4.364669999999987,3.5080619999999785
EgoAnchor w/o temporal synthesis,event_003,6.768428880305173,1.5868914712992521,0.0852080335123841,0.9829250185597624,-2.0768978000000047,-4.241108999999993,3.867100000000012
EgoAnchor w/o temporal synthesis,event_004,8.95904304097198,4.626545381695554,0.11129189704011919,0.9893828798938288,-1.4540456000000022,-3.4394120000000026,2.669364999999979
One-Euro Anchor,event_001,14.622793723540214,10.632414713535915,1.8951463903790866,0.9680436477007015,-0.9577610000000014,-4.333406999999983,3.4174630000000095
One-Euro Anchor,event_002,12.54563504179384,8.052347967016876,1.0684415716902682,0.9713349713349714,-1.2678956000000061,-4.097193999999998,3.1065650000000056
One-Euro Anchor,event_003,12.268465805927335,7.563757526723613,1.0607388287254225,0.9829250185597624,-1.7756931000000031,-4.290059999999984,3.776223000000023
One-Euro Anchor,event_004,11.893393076923774,8.606620685114315,0.5835605973083667,0.9190444591904446,-1.0049256000000049,-4.412159999999998,4.243600000000014
