method,segment_id,effective_angular_lag_ms,lag_aligned_angular_rmse_deg
Arrival-Hold,event_001,255.0,3.235233168340218
Arrival-Hold,event_002,265.0,2.5182803066188795
Arrival-Hold,event_003,260.0,3.6431170627088987
Arrival-Hold,event_004,260.0,2.8109715708816743
Arrival-Hold,event_005,255.0,3.4322716654328986
Arrival-Hold,event_006,275.0,3.373088000217644
Arrival-Hold,event_007,250.0,3.0342160659510378
Arrival-Hold,event_008,260.0,3.297803674733201
Arrival-Hold,event_009,260.0,4.1974490398632245
Arrival-Hold,event_010,265.0,3.7063720424131428
Capture-Hold,event_001,250.0,3.227107216294297
Capture-Hold,event_002,265.0,2.5316135450734154
Capture-Hold,event_003,260.0,3.611908829795606
Capture-Hold,event_004,260.0,2.7951125116073054
Capture-Hold,event_005,255.0,3.4375917516283194
Capture-Hold,event_006,265.0,3.249234053704094
Capture-Hold,event_007,255.0,3.078423860886506
Capture-Hold,event_008,260.0,3.312734709904237
Capture-Hold,event_009,260.0,4.200213150074652
Capture-Hold,event_010,265.0,3.712630672183536
One-Euro Anchor,event_001,365.0,3.5742531476077053
One-Euro Anchor,event_002,370.0,2.7298033825023778
One-Euro Anchor,event_003,365.0,3.5345926245944947
One-Euro Anchor,event_004,375.0,3.15023216904383
One-Euro Anchor,event_005,365.0,3.7756253493006127
One-Euro Anchor,event_006,375.0,3.1916158431012724
One-Euro Anchor,event_007,365.0,2.7824607701187647
One-Euro Anchor,event_008,370.0,3.243333874957329
One-Euro Anchor,event_009,375.0,3.968144859351323
One-Euro Anchor,event_010,370.0,3.9967519142840664
EgoAnchor,event_001,345.0,4.389655716566256
EgoAnchor,event_002,365.0,3.7914289128498693
EgoAnchor,event_003,345.0,3.6335078596577364
EgoAnchor,event_004,350.0,3.2240900200578784
EgoAnchor,event_005,350.0,4.522425203313706
EgoAnchor,event_006,380.0,4.859187060766508
EgoAnchor,event_007,380.0,5.982459926111233
EgoAnchor,event_008,385.0,4.9275878015217085
EgoAnchor,event_009,385.0,5.659263815505011
EgoAnchor,event_010,400.0,5.964766517557049
