variant,episode_id,translation_p95_mm,catastrophic_gt40
Arrival-Hold,event_001,20.753813077422286,False
Arrival-Hold,event_003,11.346989215035407,False
Arrival-Hold,event_005,25.553102114208286,False
Arrival-Hold,event_007,31.26112278626391,False
Arrival-Hold,event_009,14.788429558719598,False
Arrival-Hold,event_011,28.24935881069527,False
Arrival-Hold,event_013,61.245459244075136,True
Arrival-Hold,event_015,53.14167676167276,True
Arrival-Hold,event_017,10.707338652958557,False
Capture-Hold,event_001,15.196482477119327,False
Capture-Hold,event_003,10.709687693776731,False
Capture-Hold,event_005,25.479266187905342,False
Capture-Hold,event_007,30.708574932224757,False
Capture-Hold,event_009,14.32915358426238,False
Capture-Hold,event_011,27.420437456481295,False
Capture-Hold,event_013,60.975416741277336,True
Capture-Hold,event_015,52.88700971441715,True
Capture-Hold,event_017,9.239844486422648,False
EgoAnchor,event_001,3.251792176676946,False
EgoAnchor,event_003,2.584537429208417,False
EgoAnchor,event_005,2.362469440381384,False
EgoAnchor,event_007,2.1592731689272795,False
EgoAnchor,event_009,1.9564437892710642,False
EgoAnchor,event_011,1.980049024632295,False
EgoAnchor,event_013,1.7078553360394002,False
EgoAnchor,event_015,1.7976957578013664,False
EgoAnchor,event_017,1.6265223713588925,False
EgoAnchor w/o StaticLock,event_001,4.685108714770155,False
EgoAnchor w/o StaticLock,event_003,17.332053637025968,False
EgoAnchor w/o StaticLock,event_005,5.530712417099876,False
EgoAnchor w/o StaticLock,event_007,13.391018808202867,False
EgoAnchor w/o StaticLock,event_009,2.239711591807376,False
EgoAnchor w/o StaticLock,event_011,19.4760591832397,False
EgoAnchor w/o StaticLock,event_013,17.530695828375762,False
EgoAnchor w/o StaticLock,event_015,3.4869826868211033,False
EgoAnchor w/o StaticLock,event_017,4.391449428715497,False
EgoAnchor w/o VCD,event_001,3.251791418599007,False
EgoAnchor w/o VCD,event_003,2.5845329511670694,False
EgoAnchor w/o VCD,event_005,43.09993908430191,True
EgoAnchor w/o VCD,event_007,49.913017251439236,True
EgoAnchor w/o VCD,event_009,1.9564437892710642,False
EgoAnchor w/o VCD,event_011,44.208710095231496,True
EgoAnchor w/o VCD,event_013,1.7078553360394002,False
EgoAnchor w/o VCD,event_015,91.71427095798545,True
EgoAnchor w/o VCD,event_017,1.6265267861622192,False
EgoAnchor w/o capture-time alignment,event_001,8.072762946291537,False
EgoAnchor w/o capture-time alignment,event_003,6.043644050414161,False
EgoAnchor w/o capture-time alignment,event_005,5.562502676413039,False
EgoAnchor w/o capture-time alignment,event_007,3.214305523825957,False
EgoAnchor w/o capture-time alignment,event_009,2.620907692129379,False
EgoAnchor w/o capture-time alignment,event_011,5.010044184104896,False
EgoAnchor w/o capture-time alignment,event_013,4.281196204212222,False
EgoAnchor w/o capture-time alignment,event_015,8.201705926379544,False
EgoAnchor w/o capture-time alignment,event_017,4.283145679125131,False
EgoAnchor w/o temporal synthesis,event_001,3.253045969204008,False
EgoAnchor w/o temporal synthesis,event_003,2.7038327893745975,False
EgoAnchor w/o temporal synthesis,event_005,2.4247044823001205,False
EgoAnchor w/o temporal synthesis,event_007,2.125563376081304,False
EgoAnchor w/o temporal synthesis,event_009,1.9596749376714029,False
EgoAnchor w/o temporal synthesis,event_011,1.9786760350578507,False
EgoAnchor w/o temporal synthesis,event_013,1.738740922472301,False
EgoAnchor w/o temporal synthesis,event_015,1.8158064063392443,False
EgoAnchor w/o temporal synthesis,event_017,1.6998649662680068,False
One-Euro Anchor,event_001,6.51902695660526,False
One-Euro Anchor,event_003,6.410561086728999,False
One-Euro Anchor,event_005,11.70987742889795,False
One-Euro Anchor,event_007,14.31412188524044,False
One-Euro Anchor,event_009,6.540320313311676,False
One-Euro Anchor,event_011,11.949642645385884,False
One-Euro Anchor,event_013,27.922378074421708,False
One-Euro Anchor,event_015,24.618770069775408,False
One-Euro Anchor,event_017,3.5623908969194447,False
