metric,method,unit,n,p5,q1,median,q3,p95
Head-motion leakage P95,Arrival-Hold,mm,4,17.438129248055564,17.565948896008344,20.690272044107044,25.429452331714593,29.432929114488605
Head-motion leakage P95,Capture-Hold,mm,4,8.560953699274307,9.130340501645003,10.83305320378316,14.800013137825353,20.803593296765733
Head-motion leakage P95,One-Euro Anchor,mm,4,7.637046092767602,7.93020035694356,8.329484326065597,9.113069192219715,10.328545609272675
Head-motion leakage P95,EgoAnchor,mm,4,1.26736791519986,1.492916008972276,1.631104654881553,2.4131225417131317,4.183860813699069
Absolute registration P95,Arrival-Hold,mm,4,15.084570092504968,17.968493201837475,21.341252498989963,24.692256481689043,27.523966836333365
Absolute registration P95,Capture-Hold,mm,4,12.300141808149718,12.677866864122652,13.256740843599994,15.058096087855875,18.369776179297304
Absolute registration P95,One-Euro Anchor,mm,4,11.949653986274308,12.174697623676446,12.40705042386059,13.064924712230434,14.311219921278257
Absolute registration P95,EgoAnchor,mm,4,6.773114440001713,6.79181910205946,6.894116573998032,7.481226087802402,8.663479650338065
Stationary frame-increment P95,Arrival-Hold,mm,4,2.3743978460739608,3.173869573915146,3.760033225116093,4.5204520065903715,5.7381360470875515
Stationary frame-increment P95,Capture-Hold,mm,4,1.268680647542398,2.0125678120952384,2.380314904157946,2.7443902253873915,3.479465139940404
Stationary frame-increment P95,One-Euro Anchor,mm,4,0.6551373320209251,0.9414442708711586,1.0645902002078453,1.2751177763624728,1.7711406675757633
Stationary frame-increment P95,EgoAnchor,mm,4,0.0811336915262403,0.08400996469402393,0.0982501544436931,0.11149936365921283,0.11199728354503777
Translation effective lag,Arrival-Hold,ms,30,165.0,171.25,182.5,195.0,207.75
Translation effective lag,Capture-Hold,ms,30,242.25,246.25,250.0,255.0,257.75
Translation effective lag,One-Euro Anchor,ms,30,375.0,380.0,385.0,390.0,392.75
Translation effective lag,EgoAnchor,ms,30,305.0,310.0,320.0,325.0,340.99999999999994
Translation lag-aligned RMSE,Arrival-Hold,mm,30,7.539462836036677,8.772618892130353,10.087404461370905,10.749009604945327,11.415376325313261
Translation lag-aligned RMSE,Capture-Hold,mm,30,7.304390903407529,8.24343563956786,9.584197698349644,10.08490057381902,11.25677286237675
Translation lag-aligned RMSE,One-Euro Anchor,mm,30,7.165109133189493,8.647236014837835,9.559287102511744,10.171172346394723,11.899032826788124
Translation lag-aligned RMSE,EgoAnchor,mm,30,2.8797120807926864,4.34641644035002,4.959858550657504,5.680843522095609,9.110875411876094
Rotation effective lag,Arrival-Hold,ms,10,252.25,256.25,260.0,263.75,270.5
Rotation effective lag,Capture-Hold,ms,10,252.25,256.25,260.0,263.75,265.0
Rotation effective lag,One-Euro Anchor,ms,10,365.0,365.0,370.0,373.75,375.0
Rotation effective lag,EgoAnchor,ms,10,345.0,350.0,372.5,383.75,393.25
Rotation lag-aligned RMSE,Arrival-Hold,deg,10,2.649991375537137,3.0844703415483328,3.3354458374754223,3.5904057133898983,3.9764643910106874
Rotation lag-aligned RMSE,Capture-Hold,deg,10,2.650188080013666,3.1155946997384536,3.2809843818041653,3.5683295602537846,3.9808010350236493
Rotation lag-aligned RMSE,One-Euro Anchor,deg,10,2.7534992069297517,3.1605780875581906,3.388963249775912,3.725282298877386,3.9838787395643314
Rotation lag-aligned RMSE,EgoAnchor,deg,10,3.408328047877814,3.940985613778966,4.690806132040107,5.476344812009185,5.97449789226185
Occlusion episode P95,Arrival-Hold,mm,9,10.963198877789297,14.788429558719598,25.553102114208286,31.26112278626391,58.003946251114186
Occlusion episode P95,Capture-Hold,mm,9,9.827781769364282,14.32915358426238,25.479266187905345,30.70857493222476,57.74005393053326
Occlusion episode P95,One-Euro Anchor,mm,9,4.7016589728432665,6.51902695660526,11.70987742889795,14.31412188524044,26.600934872563187
Occlusion episode P95,EgoAnchor,mm,9,1.6590555572310954,1.7976957578013664,1.980049024632295,2.362469440381384,2.984890277689534
Start-transition response,Arrival-Hold,ms,9,25.090740000086953,124.21249999987776,167.54959999979474,181.06699999998816,321.71557999972134
Start-transition response,Capture-Hold,ms,9,159.06030000005558,181.06699999998816,208.7830999998987,270.8988999997964,355.0171799997712
Start-transition response,One-Euro Anchor,ms,9,175.88785999997052,256.98260000035225,284.355300000243,292.0371000000232,371.5756599996821
Start-transition response,EgoAnchor,ms,9,470.79081999991615,570.4528999999602,591.1270999999833,658.6579999998285,749.0580599998735
