panel,method,event_id,x_metric,x_unit,y_metric,y_unit
world_consistency,Arrival-Hold,event_001,,,33.599648605837345,mm
world_consistency,Arrival-Hold,event_002,,,27.769686005632845,mm
world_consistency,Arrival-Hold,event_003,,,16.53965049599361,mm
world_consistency,Arrival-Hold,event_004,,,16.70448425213161,mm
translation_tradeoff,Arrival-Hold,event_001,180.0,ms,7.270567922838936,mm
translation_tradeoff,Arrival-Hold,event_002,170.0,ms,10.17187103619588,mm
translation_tradeoff,Arrival-Hold,event_003,175.0,ms,9.881215686669194,mm
translation_tradeoff,Arrival-Hold,event_004,205.0,ms,8.643184613047248,mm
translation_tradeoff,Arrival-Hold,event_005,185.0,ms,10.139282286052063,mm
translation_tradeoff,Arrival-Hold,event_006,185.0,ms,10.488759274267913,mm
translation_tradeoff,Arrival-Hold,event_007,170.0,ms,13.869482267758341,mm
translation_tradeoff,Arrival-Hold,event_008,175.0,ms,9.510522496558703,mm
translation_tradeoff,Arrival-Hold,event_009,200.0,ms,11.16740716182547,mm
translation_tradeoff,Arrival-Hold,event_010,165.0,ms,11.846348130419365,mm
translation_tradeoff,Arrival-Hold,event_011,200.0,ms,15.22171179824024,mm
translation_tradeoff,Arrival-Hold,event_012,180.0,ms,11.71051174508999,mm
translation_tradeoff,Arrival-Hold,event_013,190.0,ms,10.646666128838223,mm
translation_tradeoff,Arrival-Hold,event_014,185.0,ms,17.413231635464765,mm
translation_tradeoff,Arrival-Hold,event_015,170.0,ms,9.0860738005222,mm
translation_tradeoff,Arrival-Hold,event_016,200.0,ms,13.809438529733848,mm
translation_tradeoff,Arrival-Hold,event_017,200.0,ms,14.08458342022057,mm
translation_tradeoff,Arrival-Hold,event_018,180.0,ms,9.715276940340194,mm
failure_containment,Arrival-Hold,event_001,,,50.10605297651233,mm
failure_containment,Arrival-Hold,event_003,,,21.114158949611177,mm
failure_containment,Arrival-Hold,event_005,,,51.871120127383165,mm
failure_containment,Arrival-Hold,event_007,,,13.247592728972359,mm
failure_containment,Arrival-Hold,event_009,,,15.259479379294238,mm
failure_containment,Arrival-Hold,event_011,,,39.662924144293044,mm
failure_containment,Arrival-Hold,event_013,,,35.30324051221481,mm
world_consistency,Capture-Hold,event_001,,,10.052475153085574,mm
world_consistency,Capture-Hold,event_002,,,6.936400010806706,mm
world_consistency,Capture-Hold,event_003,,,8.821429824936237,mm
world_consistency,Capture-Hold,event_004,,,8.3254431312421,mm
translation_tradeoff,Capture-Hold,event_001,250.0,ms,7.2834649047477065,mm
translation_tradeoff,Capture-Hold,event_002,245.0,ms,7.833109678006626,mm
translation_tradeoff,Capture-Hold,event_003,260.0,ms,10.919797295747182,mm
translation_tradeoff,Capture-Hold,event_004,265.0,ms,7.736422741629174,mm
translation_tradeoff,Capture-Hold,event_005,250.0,ms,10.537908519282027,mm
translation_tradeoff,Capture-Hold,event_006,270.0,ms,11.104237632496615,mm
translation_tradeoff,Capture-Hold,event_007,265.0,ms,12.481192110119395,mm
translation_tradeoff,Capture-Hold,event_008,250.0,ms,10.122634474035623,mm
translation_tradeoff,Capture-Hold,event_009,245.0,ms,8.809188709980232,mm
translation_tradeoff,Capture-Hold,event_010,255.0,ms,12.4252208153601,mm
translation_tradeoff,Capture-Hold,event_011,265.0,ms,11.359421568374579,mm
translation_tradeoff,Capture-Hold,event_012,260.0,ms,12.149237286224569,mm
translation_tradeoff,Capture-Hold,event_013,235.0,ms,9.453972920421393,mm
translation_tradeoff,Capture-Hold,event_014,255.0,ms,13.220452361251143,mm
translation_tradeoff,Capture-Hold,event_015,250.0,ms,9.618168849769768,mm
translation_tradeoff,Capture-Hold,event_016,245.0,ms,12.236129396068938,mm
translation_tradeoff,Capture-Hold,event_017,255.0,ms,11.353969703828314,mm
