phase,variant,head_angular_speed_deg_s_lower,head_angular_speed_deg_s_upper,head_angular_speed_deg_s_mid,n_frames,translation_median_mm,translation_p95_mm,rotation_median_deg
Head rotation A,Arrival-Hold,0,5,2.5,238,4.080983611998931,9.249963185443402,2.670912668854424
Head rotation A,Arrival-Hold,5,10,7.5,104,7.8959939150019975,16.35863292076823,3.2488568910528675
Head rotation A,Arrival-Hold,10,20,15.0,167,13.88828741406941,38.9589726766956,4.135837532020419
Head rotation A,Arrival-Hold,20,30,25.0,186,17.78499301532051,37.38382231271835,3.3353740831567276
Head rotation A,Arrival-Hold,30,40,35.0,62,23.55680336993656,37.49964908059245,3.2073784541979853
Head rotation A,Capture-Hold,0,5,2.5,238,3.170883315095373,9.630523921912882,2.7513783890253216
Head rotation A,Capture-Hold,5,10,7.5,104,6.299125558555831,9.170492776845402,3.073598839977763
Head rotation A,Capture-Hold,10,20,15.0,167,6.778868612414499,22.49904714469881,3.880928309748249
Head rotation A,Capture-Hold,20,30,25.0,186,5.833643786985957,9.27932732488098,2.650598606799171
Head rotation A,Capture-Hold,30,40,35.0,62,6.171432046959964,8.028930483480371,3.535485904720309
Head rotation A,One-Euro Anchor,0,5,2.5,238,3.138690145615686,7.346333917056936,2.722030203878872
Head rotation A,One-Euro Anchor,5,10,7.5,104,5.069085266122246,8.465611364429828,2.6251953814733446
Head rotation A,One-Euro Anchor,10,20,15.0,167,5.681972839339715,17.491224112973278,3.8455014300272157
Head rotation A,One-Euro Anchor,20,30,25.0,186,5.846674642354939,9.11188944932161,2.926444138518746
Head rotation A,One-Euro Anchor,30,40,35.0,62,6.015588886787397,10.589787508363234,3.6570126168243795
Head rotation A,EgoAnchor,0,5,2.5,238,3.1508793691674475,3.8491759141550195,3.1706511197748486
Head rotation A,EgoAnchor,5,10,7.5,104,3.7136268743531513,4.069273255198295,2.8749891259576534
Head rotation A,EgoAnchor,10,20,15.0,167,3.73542446296548,7.420764879582101,2.8840790754419117
Head rotation A,EgoAnchor,20,30,25.0,186,3.784844880296805,6.568881691026124,2.8720778571107157
Head rotation A,EgoAnchor,30,40,35.0,62,3.8277340694160107,4.107777477257827,2.85476583458343
Head rotation B,Arrival-Hold,0,5,2.5,303,3.6674467665705768,9.6703523281051,2.9614227443891243
Head rotation B,Arrival-Hold,5,10,7.5,156,7.722655853088525,15.422059516440122,2.8788457879904894
Head rotation B,Arrival-Hold,10,20,15.0,314,12.17079481686683,44.818763814848374,2.894334999860403
Head rotation B,Arrival-Hold,20,30,25.0,214,18.08983093191818,31.794948862140334,3.1806142945437896
Head rotation B,Capture-Hold,0,5,2.5,303,4.303031378931311,6.859084153330814,2.7783160848927784
Head rotation B,Capture-Hold,5,10,7.5,156,4.236140122624468,6.870824220146677,2.870647043336926
Head rotation B,Capture-Hold,10,20,15.0,314,4.376846975003439,6.791317353489427,2.7311832031196794
Head rotation B,Capture-Hold,20,30,25.0,214,4.7374536888696674,7.24604192394986,2.7627688298583912
Head rotation B,One-Euro Anchor,0,5,2.5,303,3.4908919030430345,5.458396744835794,2.874214460884119
Head rotation B,One-Euro Anchor,5,10,7.5,156,3.748926508553451,6.298532100116217,2.878757687040064
Head rotation B,One-Euro Anchor,10,20,15.0,314,4.161987725717999,6.428379049030968,2.67034961490756
Head rotation B,One-Euro Anchor,20,30,25.0,214,4.472309050951077,6.8022709074853465,2.5616119339751338
Head rotation B,EgoAnchor,0,5,2.5,303,2.3113522010425207,2.63647315934562,2.619085104630541
Head rotation B,EgoAnchor,5,10,7.5,156,2.3633930108062753,2.754937804566183,2.608271675962717
Head rotation B,EgoAnchor,10,20,15.0,314,2.359067856198677,2.8388005613142884,2.636125660195547
Head rotation B,EgoAnchor,20,30,25.0,214,2.342007447552023,2.8266942997977567,2.658778749474168
Head translation A,Arrival-Hold,0,5,2.5,795,6.820610507260221,13.545032708859656,2.7655016416101943
Head translation A,Arrival-Hold,5,10,7.5,341,11.34496439494854,19.196750927351975,2.5486981175527306
Head translation A,Capture-Hold,0,5,2.5,795,4.0270276136834235,8.811272396932468,2.7842901290660667
Head translation A,Capture-Hold,5,10,7.5,341,3.8840606280681236,9.009646559387651,2.5464941669491536
Head translation A,One-Euro Anchor,0,5,2.5,795,3.666665049612234,8.200765582113695,2.6185779678534176
Head translation A,One-Euro Anchor,5,10,7.5,341,3.7960250492220826,8.645725374995145,2.5619099842160606
Head translation A,EgoAnchor,0,5,2.5,795,2.8534672984818203,3.52547607153752,2.558786102417346
Head translation A,EgoAnchor,5,10,7.5,341,2.786041469877918,3.365867507860468,2.574727534888753
Head translation B,Arrival-Hold,0,5,2.5,784,5.593468190328766,14.164600201266039,2.5918387116154245
Head translation B,Arrival-Hold,5,10,7.5,493,11.293000863145345,18.204472554559405,2.4986802991461152
Head translation B,Arrival-Hold,10,20,15.0,20,15.258625560098846,19.748691598818112,3.156225970862349
Head translation B,Capture-Hold,0,5,2.5,784,4.389144700070047,8.547576662601937,2.555088255663993
Head translation B,Capture-Hold,5,10,7.5,493,4.206190822101138,8.17795562581574,2.4642549266305434
Head translation B,Capture-Hold,10,20,15.0,20,4.630764363607742,6.880372043169441,2.939964060482835
Head translation B,One-Euro Anchor,0,5,2.5,784,4.1018977745122465,8.00154288166211,2.4820974426947084
Head translation B,One-Euro Anchor,5,10,7.5,493,4.338160764699953,8.131932922246659,2.354077940923824
Head translation B,One-Euro Anchor,10,20,15.0,20,4.614663777291351,7.4184785408425835,2.394106483133376
Head translation B,EgoAnchor,0,5,2.5,784,3.205903701445021,3.6903716452376556,2.3718152320191956
Head translation B,EgoAnchor,5,10,7.5,493,3.2545677120344196,3.9801102448566223,2.3132000096880336
Head translation B,EgoAnchor,10,20,15.0,20,3.177557216882891,3.482201798178377,2.094647694523581
