variant,head_angular_speed_deg_s_lower,head_angular_speed_deg_s_upper,head_angular_speed_deg_s_mid,n_phases,translation_median_mm,translation_q1_mm,translation_q3_mm,translation_p95_mm,rotation_median_deg
Arrival-Hold,0,5,2.5,4,4.8372259011638485,3.977599400641843,5.90025376956163,11.607692518482377,2.7182071552323093
Arrival-Hold,5,10,7.5,4,9.594497389073672,7.852659399523629,11.305991746096144,17.281552737663816,2.71377195277161
Arrival-Hold,10,20,15.0,3,13.88828741406941,13.02954111546812,14.573456487084128,38.9589726766956,3.156225970862349
Arrival-Hold,20,30,25.0,2,17.937411973619344,17.86120249446993,18.01362145276876,34.58938558742934,3.2579941888502586
Arrival-Hold,30,40,35.0,1,23.55680336993656,23.55680336993656,23.55680336993656,37.49964908059245,3.2073784541979853
Capture-Hold,0,5,2.5,4,4.165029496307367,3.812991539036411,4.324559709215995,8.679424529767203,2.76484723695905
Capture-Hold,5,10,7.5,4,4.221165472362802,4.125658273592884,4.7518864816073085,8.593801092601694,2.7085706051430396
Capture-Hold,10,20,15.0,3,4.630764363607742,4.50380566930559,5.7048164880111205,6.880372043169441,2.939964060482835
Capture-Hold,20,30,25.0,2,5.285548737927812,5.0115012133987396,5.559596262456885,8.262684624415419,2.7066837183287813
Capture-Hold,30,40,35.0,1,6.171432046959964,6.171432046959964,6.171432046959964,8.028930483480371,3.535485904720309
EgoAnchor,0,5,2.5,4,3.0021733338246337,2.7179385241219953,3.164635452236841,3.607923858387588,2.5889356035239435
EgoAnchor,5,10,7.5,4,3.0203045909561688,2.6803793551100075,3.3693325026141023,3.672988876358545,2.591499605425735
EgoAnchor,10,20,15.0,3,3.177557216882891,2.768312536540784,3.4564908399241854,3.482201798178377,2.636125660195547
EgoAnchor,20,30,25.0,2,3.0634261639244142,2.7027168057382185,3.4241355221106096,4.69778799541194,2.765428303292442
EgoAnchor,30,40,35.0,1,3.8277340694160107,3.8277340694160107,3.8277340694160107,4.107777477257827,2.85476583458343
One-Euro Anchor,0,5,2.5,4,3.578778476327634,3.4028414636861974,3.775473230837237,7.673938399359523,2.670304085866145
One-Euro Anchor,5,10,7.5,4,4.067092906961018,3.7842504140549247,4.520891890055527,8.298772143338244,2.5935526828447024
One-Euro Anchor,10,20,15.0,3,4.614663777291351,4.388325751504675,5.148318308315533,7.4184785408425835,2.67034961490756
One-Euro Anchor,20,30,25.0,2,5.159491846653008,4.815900448802043,5.503083244503974,7.957080178403478,2.74402803624694
One-Euro Anchor,30,40,35.0,1,6.015588886787397,6.015588886787397,6.015588886787397,10.589787508363234,3.6570126168243795
