phase,variant,head_linear_speed_m_s_lower,head_linear_speed_m_s_upper,head_linear_speed_m_s_mid,n_frames,translation_median_mm,translation_p95_mm,rotation_median_deg
Head rotation A,Arrival-Hold,0.0,0.02,0.01,330,4.516007035334745,13.768194221428242,2.689903396772293
Head rotation A,Arrival-Hold,0.02,0.05,0.035,313,15.579089404908004,33.599648605837345,3.9016414200316767
Head rotation A,Arrival-Hold,0.05,0.08,0.065,119,21.898311951596504,42.11141691025393,3.3045565387141758
Head rotation A,Capture-Hold,0.0,0.02,0.01,330,3.3150518944924974,9.630523921912882,2.7517896421682795
Head rotation A,Capture-Hold,0.02,0.05,0.035,313,6.395123752530422,18.366180704993,2.8515266269213604
Head rotation A,Capture-Hold,0.05,0.08,0.065,119,5.616941429483781,8.662652345941073,3.373824665192974
Head rotation A,One-Euro Anchor,0.0,0.02,0.01,330,3.768428684764298,8.330719113912966,2.77371563161942
Head rotation A,One-Euro Anchor,0.02,0.05,0.035,313,5.786574684974314,10.884988242476606,2.949109175331403
Head rotation A,One-Euro Anchor,0.05,0.08,0.065,119,5.082871135953716,10.589787508363234,3.6570126168243795
Head rotation A,EgoAnchor,0.0,0.02,0.01,330,3.48663193296142,4.033736959151123,2.9416369045443114
Head rotation A,EgoAnchor,0.02,0.05,0.035,313,3.7604244458663185,7.294770521009142,2.8740363451183693
Head rotation A,EgoAnchor,0.05,0.08,0.065,119,3.7299187872854302,4.108308965654567,2.8574080356074814
Head rotation B,Arrival-Hold,0.0,0.02,0.01,430,4.7363383830202945,11.67534825463904,3.041913683893618
Head rotation B,Arrival-Hold,0.02,0.05,0.035,466,12.67945330268896,34.57761408947536,2.8907695860920675
Head rotation B,Arrival-Hold,0.05,0.08,0.065,108,21.17172956509328,31.794948862140334,3.1500013761221544
Head rotation B,Capture-Hold,0.0,0.02,0.01,430,4.260786893418553,6.865541190079538,2.8274621477310853
Head rotation B,Capture-Hold,0.02,0.05,0.035,466,4.418362045865816,6.936400010806706,2.745880212332664
Head rotation B,Capture-Hold,0.05,0.08,0.065,108,4.916285136123976,7.070328255938979,2.7481941007442536
Head rotation B,One-Euro Anchor,0.0,0.02,0.01,430,3.4908919030430345,5.741033739014193,2.8826467333943557
Head rotation B,One-Euro Anchor,0.02,0.05,0.035,466,4.326382416832735,6.542955324479896,2.6503190341738474
Head rotation B,One-Euro Anchor,0.05,0.08,0.065,108,4.545093193389941,6.196165455637806,2.5515081843483265
Head rotation B,EgoAnchor,0.0,0.02,0.01,430,2.314059440012914,2.715500442754423,2.6188908763578023
Head rotation B,EgoAnchor,0.02,0.05,0.035,466,2.3547427015910785,2.823653069475554,2.636125660195547
Head rotation B,EgoAnchor,0.05,0.08,0.065,108,2.35972981726584,2.8789459993705835,2.658107101325789
Head translation A,Arrival-Hold,0.0,0.02,0.01,181,3.4079573186574605,7.179640624506633,2.9407611569137777
Head translation A,Arrival-Hold,0.02,0.05,0.035,212,5.884944595408093,10.5910057631871,2.9298821968529687
Head translation A,Arrival-Hold,0.05,0.08,0.065,290,8.872839929662362,14.858118661891897,2.6349329618830843
Head translation A,Arrival-Hold,0.08,0.12,0.1,341,11.336909296061817,20.92208884406463,2.5717536658763893
Head translation A,Arrival-Hold,0.12,0.16,0.14,121,12.659879877105269,19.196750927351975,2.3945145833949915
Head translation A,Capture-Hold,0.0,0.02,0.01,181,3.5984225670572068,8.669211536314345,2.88025825300889
Head translation A,Capture-Hold,0.02,0.05,0.035,212,4.231180294865703,9.009646559387651,2.865524112925302
Head translation A,Capture-Hold,0.05,0.08,0.065,290,3.7148917321703343,8.714277725684724,2.6911334522281107
Head translation A,Capture-Hold,0.08,0.12,0.1,341,3.632141492957811,16.85471001290698,2.5464941669491536
Head translation A,Capture-Hold,0.12,0.16,0.14,121,3.5774793324293426,7.22380874500837,2.538671818660756
Head translation A,One-Euro Anchor,0.0,0.02,0.01,181,3.4305688260562337,6.952627421721102,2.515411281004416
Head translation A,One-Euro Anchor,0.02,0.05,0.035,212,3.7275578809583303,8.561755339284485,2.6185779678534176
Head translation A,One-Euro Anchor,0.05,0.08,0.065,290,3.6548054113999218,8.219695624894303,2.5553511742068746
Head translation A,One-Euro Anchor,0.08,0.12,0.1,341,4.265749351456791,9.216370818409889,2.6094292343563685
Head translation A,One-Euro Anchor,0.12,0.16,0.14,121,3.6439270290437973,6.757069030752075,2.445845084207061
Head translation A,EgoAnchor,0.0,0.02,0.01,181,2.9219270422477845,3.544834026590549,2.5376857649047726
Head translation A,EgoAnchor,0.02,0.05,0.035,212,2.7436034943923624,3.278407252568517,2.55775556498164
Head translation A,EgoAnchor,0.05,0.08,0.065,290,2.844636150782513,3.4261391541078625,2.5572601695584423
Head translation A,EgoAnchor,0.08,0.12,0.1,341,2.8392643939444318,3.4847284057558876,2.568564715159828
Head translation A,EgoAnchor,0.12,0.16,0.14,121,2.7228493045680584,3.3803815129276105,2.587935706572445
Head translation B,Arrival-Hold,0.0,0.02,0.01,342,4.453990987923571,8.05613542979683,2.4323696448574235
Head translation B,Arrival-Hold,0.02,0.05,0.035,249,6.042380933369443,9.481314670181433,2.808974344212097
Head translation B,Arrival-Hold,0.05,0.08,0.065,252,8.555694374535811,13.996214599211592,2.6327783330407533
Head translation B,Arrival-Hold,0.08,0.12,0.1,293,12.64817726407478,18.204472554559405,2.374723009408736
Head translation B,Arrival-Hold,0.12,0.16,0.14,153,13.762726056159455,20.79498271009059,2.379394071929916
Head translation B,Capture-Hold,0.0,0.02,0.01,342,4.143071753656993,8.316374353465632,2.411724430921251
Head translation B,Capture-Hold,0.02,0.05,0.035,249,4.919887705317612,8.567852272218234,2.7985321189806136
Head translation B,Capture-Hold,0.05,0.08,0.065,252,4.1538174824937695,8.425403220354026,2.594517470340105
Head translation B,Capture-Hold,0.08,0.12,0.1,293,4.271091732439928,8.292273348370658,2.36642397740509
Head translation B,Capture-Hold,0.12,0.16,0.14,153,4.130581993774156,9.34918718553264,2.1105924067498485
Head translation B,One-Euro Anchor,0.0,0.02,0.01,342,4.052988770443498,7.278516443617293,2.461116434515585
Head translation B,One-Euro Anchor,0.02,0.05,0.035,249,3.9595409811869557,8.00154288166211,2.553909188116416
Head translation B,One-Euro Anchor,0.05,0.08,0.065,252,4.081436254108802,8.043489199364696,2.6387739856757357
Head translation B,One-Euro Anchor,0.08,0.12,0.1,293,5.163194305390593,8.136750670269432,2.2967458553686675
Head translation B,One-Euro Anchor,0.12,0.16,0.14,153,4.800335752311798,8.553889763272464,2.221477084057738
Head translation B,EgoAnchor,0.0,0.02,0.01,342,3.224508262595172,3.65976234009997,2.413681726786637
Head translation B,EgoAnchor,0.02,0.05,0.035,249,3.1736391331058056,3.6903716452376556,2.3108051087380854
Head translation B,EgoAnchor,0.05,0.08,0.065,252,3.264533324443077,3.924107124246494,2.3701449893925624
Head translation B,EgoAnchor,0.08,0.12,0.1,293,3.2243087576953777,3.940381492428044,2.2792175656968614
Head translation B,EgoAnchor,0.12,0.16,0.14,153,3.046207317211981,3.983601914928294,2.3132000096880336
