variant,head_linear_speed_m_s_lower,head_linear_speed_m_s_upper,head_linear_speed_m_s_mid,n_phases,translation_median_mm,translation_q1_mm,translation_q3_mm,translation_p95_mm,rotation_median_deg
Arrival-Hold,0.0,0.02,0.01,4,4.484999011629158,4.192482570607043,4.571089872256133,9.865741842217936,2.8153322768430353
Arrival-Hold,0.02,0.05,0.035,4,9.360917118029201,6.003021848879105,13.404362328243721,22.09532718451222,2.9103258914725183
Arrival-Hold,0.05,0.08,0.065,4,15.022284747377821,8.793553540880724,21.353375161719086,23.326533762016116,2.8924671690026194
Arrival-Hold,0.08,0.12,0.1,2,11.992543280068299,11.664726288065058,12.32036027207154,19.563280699312017,2.4732383376425626
Arrival-Hold,0.12,0.16,0.14,2,13.211302966632362,12.935591421868814,13.487014511395909,19.995866818721282,2.386954327662454
Capture-Hold,0.0,0.02,0.01,4,3.8707471603570998,3.5275798989160294,4.172500538597383,8.492792944889988,2.7896258949496824
Capture-Hold,0.02,0.05,0.035,4,4.669124875591715,4.371566608115788,5.288696717120815,8.788749415802943,2.825029372950987
Capture-Hold,0.05,0.08,0.065,4,4.535051309308873,4.044086044912911,5.091449209463928,8.544027783147548,2.719663776486182
Capture-Hold,0.08,0.12,0.1,2,3.951616612698869,3.79187905282834,4.111354172569398,12.57349168063882,2.456459072177122
Capture-Hold,0.12,0.16,0.14,2,3.8540306631017494,3.7157549977655457,3.9923063284379525,8.286497965270506,2.3246321127053022
EgoAnchor,0.0,0.02,0.01,4,3.0732176524214783,2.769960141689067,3.290039180186734,3.6022981833452596,2.5782883206312874
EgoAnchor,0.02,0.05,0.035,4,2.958621313749084,2.6463882961920415,3.320335461295934,3.4843894489030864,2.596940612588593
EgoAnchor,0.05,0.08,0.065,4,3.054584737612795,2.723409567403345,3.380879690153665,3.6751231391771784,2.6076836354421156
EgoAnchor,0.08,0.12,0.1,2,3.031786575819905,2.9355254848821684,3.128047666757641,3.712554949091966,2.4238911404283447
EgoAnchor,0.12,0.16,0.14,2,2.88452831089002,2.803688807729039,2.9653678140510005,3.6819917139279523,2.4505678581302393
One-Euro Anchor,0.0,0.02,0.01,4,3.629660293903666,3.475811133796334,3.8395687061840977,7.115571932669198,2.644563456311918
One-Euro Anchor,0.02,0.05,0.035,4,4.142961699009845,3.9015452061297995,4.69143048386813,8.281649110473296,2.6344485010136323
One-Euro Anchor,0.05,0.08,0.065,4,4.313264723749372,3.9747785434315817,4.679537679030885,8.1315924121295,2.597062579941305
One-Euro Anchor,0.08,0.12,0.1,2,4.714471828423692,4.490110589940242,4.938833066907142,8.67656074433966,2.453087544862518
One-Euro Anchor,0.12,0.16,0.14,2,4.222131390677798,3.9330292098607975,4.511233571494798,7.65547939701227,2.3336610841323995
