variant,phase,phase_index,n_frames,duration_s,head_linear_speed_median_m_s,head_linear_speed_p95_m_s,head_angular_speed_median_deg_s,head_angular_speed_p95_deg_s,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,hp_translation_rms_mm,hp_translation_p95_mm,hp_rotation_rms_deg,hp_rotation_p95_deg,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,static_lock_uptime_pct,display_coverage_pct,observation_lag_median_ms,output_target_lag_median_ms
Arrival-Hold,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,5.892079107736968,9.08032034466808,3.281902073931858,4.247706238418832,1.9658061201858033,4.074305851583905,0.9337527967497734,1.6635707878342396,4.995425659044226,1.8931505351592628,9.668592784285156,85.1207729468599,0.0,100.0,216.61489999678452,47.784099995624274
Capture-Hold,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,5.040691422478519,7.663696751500197,3.3502378715181207,4.171517294321498,0.6809015007884536,1.1170469389138087,0.9160615685116162,1.6172109279308695,1.3273342427927703,1.9485414303667679,9.668592784285156,85.1207729468599,0.0,100.0,216.61489999678452,216.61489999678452
EgoAnchor,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,5.982933756350936,7.155202365780891,3.4086561851201997,3.680874778401625,0.009910476370968207,0.02083400000002511,0.01830736362924592,0.03518596837676062,0.06904034267228881,0.04668406698455262,9.668592784285156,85.1207729468599,100.0,100.0,216.61489999678452,
EgoAnchor w/o StaticLock,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,5.022552112113854,7.695453086117539,3.29766236706682,4.086568046403446,0.5368458505760193,0.93371643138474,0.7420325362800589,1.343091080382508,0.6037079672619401,0.596598282418379,64.91769440877175,0.0966183574879227,0.0,100.0,216.61489999678452,282.575192861259
EgoAnchor w/o VCD,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,5.982933756350936,7.155202365780891,3.4086561851201997,3.680874778401625,0.009910476370968207,0.02083400000002511,0.018307282143203794,0.03518596837676062,0.06904034267228881,0.04668406698455262,9.668592784285156,85.1207729468599,100.0,100.0,216.61489999678452,
EgoAnchor w/o capture-time alignment,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,6.472822594798954,7.252394081364869,3.2843181325508035,3.693807307329355,0.049648193530015775,0.10913377873824193,0.019064166786670795,0.039843537692298106,0.13323127232377685,0.04752454955826167,9.668592784285156,85.1207729468599,100.0,100.0,216.61489999678452,
EgoAnchor w/o temporal synthesis,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,5.982626293604293,7.154882974856147,3.4033759649862207,3.6803404277487397,0.00995790577839361,0.020800000000043006,0.018474841504112282,0.03429333784679476,0.06901764556915231,0.047029536703148286,9.668592784285156,85.1207729468599,100.0,100.0,216.61489999678452,
One-Euro Anchor,Baseline / low head motion,0,1035,15.927860800002236,0.0070867615889118,0.017061404498825223,3.1585258812830133,8.353790999093397,4.954260519036389,7.782278995336417,3.3275972641785367,3.748835188186597,0.22574438082696596,0.40865868551670187,0.362156771740297,0.7088735961136404,0.5137148521140515,0.6664537749617815,9.668592784285156,85.1207729468599,0.0,100.0,216.61489999678452,216.61489999678452
Arrival-Hold,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,11.956629905299115,33.599648605837345,3.1718854842672903,7.8285719634327275,8.059874197593501,18.900720046219796,1.5684860457565086,3.1467220159847877,17.85280500684769,3.6165166821669037,9.678330562621625,84.51417004048582,0.0,100.0,216.71174999937648,42.73855000064941
Capture-Hold,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,5.1828643988105085,10.052475153085574,3.06968173496713,6.521281320763108,5.1476891561931035,6.740248671539656,1.4775186963873461,2.822588576999396,11.602535280521938,3.3148379938130277,9.678330562621625,84.51417004048582,0.0,100.0,216.71174999937648,216.71174999937648
EgoAnchor,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,3.688212567319855,6.460055436376781,2.887061370272102,3.503351879819651,1.7132491352789778,2.0190415265456965,0.8947271395641972,1.850976560942736,1.8903840479601193,0.766285426133294,15.181695000190784,75.7085020242915,88.46153846153845,100.0,216.71174999937648,276.5904841471638
EgoAnchor w/o StaticLock,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,5.008727755291428,9.795146129288607,2.9433708854185534,6.179985819177805,4.19900201803294,5.290018416815165,1.2049822555698588,2.4140176869270715,6.2861466604968745,1.31266415808999,62.49797775078539,0.0,0.0,100.0,216.71174999937648,285.0030220761255
EgoAnchor w/o VCD,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,3.688204668280754,6.460052098154103,2.887061370272102,3.5033420320038746,1.7132388280569306,2.0189900971979196,0.8947240873325613,1.8509429696322957,1.8911498789964856,0.766297034633638,15.181695000190784,75.7085020242915,88.46153846153845,100.0,216.71174999937648,276.592452541081
EgoAnchor w/o capture-time alignment,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,5.106394351349193,31.55222748774338,3.693357051825396,5.111233714950088,6.512321986682636,10.46658225032262,0.7236871692583577,1.7936664783736052,5.8409230086603605,0.792008156206181,22.076714812777432,64.67611336032388,71.65991902834008,100.0,216.71174999937648,250.024900000426
EgoAnchor w/o temporal synthesis,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,3.683950754586862,5.02272728262294,2.886479678004313,3.5445034132276088,1.8348350391634523,2.677841553641929,0.916508542019666,1.761860618324894,2.953286223690456,1.0538492847696745,11.639299500146267,81.37651821862349,88.46153846153845,100.0,216.71174999937648,215.7866500019736
One-Euro Anchor,Head rotation A,1,988,15.80851149999944,0.025917553357653,0.06132271634487787,13.296446457035396,34.08070966726421,4.770834984740273,9.121869916051907,2.910812767291267,5.417854836304892,2.229002493164264,3.4554249051484103,0.6625866205265344,1.4040368779319163,3.5422500482553003,1.2465957940430705,9.678330562621625,84.51417004048582,0.0,100.0,216.71174999937648,216.71174999937648
Arrival-Hold,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,9.48392239950685,27.769686005632845,2.975547712121603,5.559970041191624,4.956966059947273,10.263603175886853,1.0307631867627454,2.0361119825325544,10.884763329414481,2.1590058573568705,9.684643037469115,84.91071428571428,0.0,100.0,223.04435000114609,43.100549999508075
Capture-Hold,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,4.3649082192332775,6.936400010806706,2.7627688298583912,4.242032392645175,1.5425539681167535,2.835939480845378,0.9569203213067129,1.7695242498848995,4.186798517126531,1.925553820715585,9.684643037469115,84.91071428571428,0.0,100.0,223.04435000114609,223.04435000114609
EgoAnchor,Head rotation B,2,1120,17.45030759999645,0.02456360535520585,0.056459442725209,11.62146689956998,27.087559309227007,2.3326785439579365,2.79387454405061,2.6296173814177974,2.974718974765876,0.05072640406977199,0.1180170000000258,0.01734801245517225,0.03759422196153528,0.1548780249552477,0.05348254800169312,9.684643037469115,84.91071428571428,100.0,100.0,223.04435000114609,
