segment,variant,speed_lower_m_s,speed_upper_m_s,speed_mid_m_s,n_frames,translation_median_mm,translation_p95_mm
1,Arrival-Hold,0.1,0.2,0.15000000000000002,19,19.768373111187167,32.683645230065125
1,Arrival-Hold,0.2,0.3,0.25,50,34.861017762568025,51.15348081624854
1,Arrival-Hold,0.3,0.4,0.35,40,37.906954377912456,52.48274537568366
1,Arrival-Hold,0.4,0.5,0.45,18,46.56854681628799,58.88563334712842
1,Capture-Hold,0.1,0.2,0.15000000000000002,19,21.24061122387492,45.2945451118581
1,Capture-Hold,0.2,0.3,0.25,50,45.862555465103945,67.10001771852865
1,Capture-Hold,0.3,0.4,0.35,40,54.799049975482845,71.15260241842489
1,Capture-Hold,0.4,0.5,0.45,18,60.09531319395455,72.44391115461946
1,One-Euro Anchor,0.1,0.2,0.15000000000000002,19,23.470427236881,78.5612109861944
1,One-Euro Anchor,0.2,0.3,0.25,50,63.55967622382299,101.49669059729929
1,One-Euro Anchor,0.3,0.4,0.35,40,83.15600063199881,106.63081061484101
1,One-Euro Anchor,0.4,0.5,0.45,18,90.19200230464165,100.85783377207741
1,EgoAnchor,0.1,0.2,0.15000000000000002,19,26.671951682859117,64.48637497128219
1,EgoAnchor,0.2,0.3,0.25,50,78.45553944481912,107.40309043553896
1,EgoAnchor,0.3,0.4,0.35,40,73.47313952260401,83.61440909351941
1,EgoAnchor,0.4,0.5,0.45,18,78.73984664134227,85.84568997292719
2,Arrival-Hold,0.1,0.2,0.15000000000000002,20,26.246805677034246,47.40479281823144
2,Arrival-Hold,0.2,0.3,0.25,80,31.060968526286416,45.566636876518665
2,Arrival-Hold,0.3,0.4,0.35,12,40.19862064615365,51.07568805112638
2,Capture-Hold,0.1,0.2,0.15000000000000002,20,41.470141751407866,55.568398209062885
2,Capture-Hold,0.2,0.3,0.25,80,44.907648021169564,59.81310566380562
2,Capture-Hold,0.3,0.4,0.35,12,48.74540742635536,56.85121538782114
2,One-Euro Anchor,0.1,0.2,0.15000000000000002,20,71.63470465266965,83.9541175131693
2,One-Euro Anchor,0.2,0.3,0.25,80,72.16870376384418,85.54819555869696
2,One-Euro Anchor,0.3,0.4,0.35,12,66.88473709086045,72.85823710287585
2,EgoAnchor,0.1,0.2,0.15000000000000002,20,51.910069531879174,66.68748785088496
2,EgoAnchor,0.2,0.3,0.25,80,59.52173063886376,65.35904909718812
2,EgoAnchor,0.3,0.4,0.35,12,58.462419371663984,64.56574264793757
3,Arrival-Hold,0.1,0.2,0.15000000000000002,25,21.514565411248487,30.41658996621149
3,Arrival-Hold,0.2,0.3,0.25,36,28.98073930747941,51.29522325315681
3,Arrival-Hold,0.3,0.4,0.35,52,45.95017627370605,61.3397152584843
3,Arrival-Hold,0.4,0.5,0.45,39,49.46522269096599,66.14053434608095
3,Capture-Hold,0.1,0.2,0.15000000000000002,25,36.92565885379622,51.13576015167972
3,Capture-Hold,0.2,0.3,0.25,36,48.6004747867258,73.97010064626572
3,Capture-Hold,0.3,0.4,0.35,52,68.32021502787087,85.87052888457197
3,Capture-Hold,0.4,0.5,0.45,39,70.79622828063,88.54486490949763
3,One-Euro Anchor,0.1,0.2,0.15000000000000002,25,66.8292017756928,86.2467716308073
3,One-Euro Anchor,0.2,0.3,0.25,36,84.75172849394079,111.71299751842918
3,One-Euro Anchor,0.3,0.4,0.35,52,101.12570393835009,123.99369014900468
