variant,speed_lower_m_s,speed_upper_m_s,speed_mid_m_s,n_segments,translation_median_mm,translation_q1_mm,translation_q3_mm,translation_p95_median_mm
Arrival-Hold,0.1,0.2,0.15000000000000002,14,22.2476421929574,20.521501732280406,25.797933831468193,36.04067687980624
Arrival-Hold,0.2,0.3,0.25,16,34.99176927958875,31.888355401684176,38.427804062565,54.70183055888866
Arrival-Hold,0.3,0.4,0.35,17,47.80759763721362,45.7615610956331,50.018123695218264,67.57675055125193
Arrival-Hold,0.4,0.5,0.45,15,57.08010364540454,50.96153024312365,59.679676654516626,75.96042378126346
Arrival-Hold,0.5,0.6,0.55,8,64.68399850151387,62.6417918947904,66.27481828457648,79.7974113539841
Capture-Hold,0.1,0.2,0.15000000000000002,14,35.75645946433648,29.798152712066504,41.35413709642259,51.61364650064097
Capture-Hold,0.2,0.3,0.25,16,47.46273583348456,45.128948915778665,56.746863247788866,76.04168548453768
Capture-Hold,0.3,0.4,0.35,17,65.09270321382363,57.59079158578348,70.24157683108024,85.87052888457197
Capture-Hold,0.4,0.5,0.45,15,74.49168160901726,70.16749707776611,82.6820616961709,103.19128568886197
Capture-Hold,0.5,0.6,0.55,8,92.32090389992266,89.25092770652482,93.13196741283738,109.61392502733167
EgoAnchor,0.1,0.2,0.15000000000000002,14,49.262266204783145,43.42290637560516,54.23407429652663,67.51655318666747
EgoAnchor,0.2,0.3,0.25,16,66.77066502786026,59.05188271739531,76.58840371841993,97.79703087891293
EgoAnchor,0.3,0.4,0.35,17,86.12070701153556,77.90578077977223,93.11819067808409,103.51951756548121
EgoAnchor,0.4,0.5,0.45,15,94.84544404768346,89.60742770318609,108.14994690730165,113.62697259255633
EgoAnchor,0.5,0.6,0.55,8,112.43608528644201,108.55765317457434,120.66479080304879,121.5800348400498
One-Euro Anchor,0.1,0.2,0.15000000000000002,14,70.0879663140233,62.540424460744944,76.89621547053956,90.23394173698293
One-Euro Anchor,0.2,0.3,0.25,16,82.88547430676658,70.01644687883888,91.47785731054857,117.3572020683437
One-Euro Anchor,0.3,0.4,0.35,17,100.25544799656402,88.0485089035572,107.32527629619688,127.4355777535826
One-Euro Anchor,0.4,0.5,0.45,15,112.08967750727014,100.70610456043875,122.23920656991186,145.299857621871
One-Euro Anchor,0.5,0.6,0.55,8,130.00132414241403,128.23281985358275,132.60477945091768,152.12971383790415
