comparison,metric,metric_label,variant_a,variant_b,variant_a_median,variant_b_median,paired_difference_median,paired_difference_min,paired_difference_max,a_better_segments,b_better_segments,ties,n_segments
EgoAnchor - One-Euro Anchor,rotation_median_deg,Rotation median (deg),EgoAnchor,One-Euro Anchor,13.246986090770084,14.190728973114616,-0.8181153945458419,-0.943742882344532,-0.4960261083602209,3,0,0,3
EgoAnchor - One-Euro Anchor,rotation_p95_deg,Rotation P95 (deg),EgoAnchor,One-Euro Anchor,22.31058102067929,22.78915835947374,-0.4785773387944481,-3.593548248658678,1.9588150503123778,2,1,0,3
EgoAnchor - One-Euro Anchor,effective_rotation_lag_ms,Effective rotation lag (ms),EgoAnchor,One-Euro Anchor,340.0,380.0,-35.0,-40.0,-34.99999999999994,3,0,0,3
EgoAnchor - One-Euro Anchor,lag_compensated_rotation_residual_deg,Lag-compensated residual (deg),EgoAnchor,One-Euro Anchor,2.479338891489594,2.610222067860187,-0.16413978944866914,-0.19102409801604292,-0.040665552801190774,3,0,0,3
EgoAnchor - One-Euro Anchor,rotation_jump_p99_deg,Rotation jump P99 (deg),EgoAnchor,One-Euro Anchor,2.335772467288707,6.60401568947554,-4.518597751582874,-4.970071693226227,-2.067529206816657,3,0,0,3
EgoAnchor - EgoAnchor w/o temporal synthesis,rotation_jump_p99_deg,Temporal synthesis: jump P99 (deg),EgoAnchor,EgoAnchor w/o temporal synthesis,2.335772467288707,8.01757229579198,-5.681799828503274,-5.955122759105141,-2.42629915510962,3,0,0,3
EgoAnchor - EgoAnchor w/o temporal synthesis,rotation_median_deg,Temporal synthesis: raw rotation median (deg),EgoAnchor,EgoAnchor w/o temporal synthesis,13.246986090770084,10.67382507734434,2.5731610134257448,1.4691555517824835,3.104723612807886,0,3,0,3
EgoAnchor - EgoAnchor w/o temporal synthesis,effective_rotation_lag_ms,Temporal synthesis: effective lag (ms),EgoAnchor,EgoAnchor w/o temporal synthesis,340.0,265.0,75.0,75.0,80.00000000000006,0,3,0,3
EgoAnchor - EgoAnchor w/o capture-time alignment,rotation_median_deg,Capture alignment: rotation median (deg),EgoAnchor,EgoAnchor w/o capture-time alignment,13.246986090770084,17.68857729323964,-4.441591202469555,-4.668539206532692,-2.4660503783515946,3,0,0,3
EgoAnchor - EgoAnchor w/o capture-time alignment,effective_rotation_lag_ms,Capture alignment: effective lag (ms),EgoAnchor,EgoAnchor w/o capture-time alignment,340.0,485.0,-149.99999999999994,-155.0,-120.0,3,0,0,3
