segment,variant,speed_lower_deg_s,speed_upper_deg_s,speed_mid_deg_s,n_frames,rotation_median_deg,rotation_p95_deg
1,Arrival-Hold,20.0,40.0,30.0,513,8.330271273127478,16.769516530654336
1,Arrival-Hold,40.0,60.0,50.0,376,11.44993560692739,19.183305359982498
1,Arrival-Hold,60.0,80.0,70.0,196,13.93277366941668,22.471658353791394
1,Arrival-Hold,80.0,100.0,90.0,63,16.54535728138406,23.82206744023764
1,Capture-Hold,20.0,40.0,30.0,513,8.597716545144117,16.8264190712257
1,Capture-Hold,40.0,60.0,50.0,376,11.4897440173185,19.283273668013713
1,Capture-Hold,60.0,80.0,70.0,196,14.026911047095297,22.51970056621898
1,Capture-Hold,80.0,100.0,90.0,63,16.731822960524884,23.850893320031332
1,One-Euro Anchor,20.0,40.0,30.0,513,12.580175165450628,25.058039875061866
1,One-Euro Anchor,40.0,60.0,50.0,376,16.192565059040234,25.169778860541854
1,One-Euro Anchor,60.0,80.0,70.0,196,19.769563013962127,28.898321444647973
1,One-Euro Anchor,80.0,100.0,90.0,63,23.013096241954468,30.804823376614323
1,EgoAnchor,20.0,40.0,30.0,513,11.92435319632551,21.060971351140434
1,EgoAnchor,40.0,60.0,50.0,376,14.964040324974436,22.732057236090508
1,EgoAnchor,60.0,80.0,70.0,196,18.17906463825817,25.417285438239233
1,EgoAnchor,80.0,100.0,90.0,63,20.65965982068872,25.39039890764166
2,Arrival-Hold,20.0,40.0,30.0,450,5.540112016321004,14.960604970339984
2,Arrival-Hold,40.0,60.0,50.0,263,6.885601631639637,17.269683204896744
2,Arrival-Hold,60.0,80.0,70.0,105,9.407449481274643,20.33024021850831
2,Arrival-Hold,80.0,100.0,90.0,51,9.908712027485866,20.86614671712987
2,Capture-Hold,20.0,40.0,30.0,450,5.544536134632878,14.968398793569754
2,Capture-Hold,40.0,60.0,50.0,263,6.924041817990895,17.2692321286915
2,Capture-Hold,60.0,80.0,70.0,105,9.426192785916323,20.322484443229207
2,Capture-Hold,80.0,100.0,90.0,51,9.888257112823224,20.857480463274456
2,One-Euro Anchor,20.0,40.0,30.0,450,8.40054579101078,18.15877835677074
2,One-Euro Anchor,40.0,60.0,50.0,263,9.86170128076976,18.268771899403205
2,One-Euro Anchor,60.0,80.0,70.0,105,11.788546728120519,19.81856316152023
2,One-Euro Anchor,80.0,100.0,90.0,51,11.717302044791005,25.420342746206764
2,EgoAnchor,20.0,40.0,30.0,450,7.6046926607607706,20.355372158075976
2,EgoAnchor,40.0,60.0,50.0,263,9.52132315349992,21.218550101367356
2,EgoAnchor,60.0,80.0,70.0,105,11.186791069657685,23.252330384203137
2,EgoAnchor,80.0,100.0,90.0,51,11.387443121182569,20.92187271648686
3,Arrival-Hold,20.0,40.0,30.0,566,7.7195031706663215,14.629458184231742
3,Arrival-Hold,40.0,60.0,50.0,393,11.639368537644936,17.95436042481449
3,Arrival-Hold,60.0,80.0,70.0,129,12.435638032019584,19.991077451267962
3,Arrival-Hold,80.0,100.0,90.0,49,14.489320846538298,19.579659280202577
3,Capture-Hold,20.0,40.0,30.0,566,7.702887068425767,14.654047426776149
3,Capture-Hold,40.0,60.0,50.0,393,11.62384136390027,17.97468606367799
3,Capture-Hold,60.0,80.0,70.0,129,12.497664551584808,19.995382051725947
3,Capture-Hold,80.0,100.0,90.0,49,14.532479537020112,19.626244104092542
3,One-Euro Anchor,20.0,40.0,30.0,566,11.794000685488307,19.207929849755136
3,One-Euro Anchor,40.0,60.0,50.0,393,15.594713486876586,24.033441289187486
3,One-Euro Anchor,60.0,80.0,70.0,129,17.191271271812226,25.828545976713734
3,One-Euro Anchor,80.0,100.0,90.0,49,20.166412983579505,25.627679634099856
3,EgoAnchor,20.0,40.0,30.0,566,10.056046323524422,17.833857839622937
3,EgoAnchor,40.0,60.0,50.0,393,14.439487763957278,21.78162586690428
3,EgoAnchor,60.0,80.0,70.0,129,15.589083316055879,23.862232524506286
3,EgoAnchor,80.0,100.0,90.0,49,19.019839279886074,23.224629340433808
