variant,speed_lower_deg_s,speed_upper_deg_s,speed_mid_deg_s,n_segments,rotation_median_deg,rotation_q1_deg,rotation_q3_deg,rotation_p95_median_deg
Arrival-Hold,20.0,40.0,30.0,3,7.7195031706663215,6.629807593493663,8.0248872218969,14.960604970339984
Arrival-Hold,40.0,60.0,50.0,3,11.44993560692739,9.167768619283514,11.544652072286162,17.95436042481449
Arrival-Hold,60.0,80.0,70.0,3,12.435638032019584,10.921543756647115,13.184205850718133,20.33024021850831
Arrival-Hold,80.0,100.0,90.0,3,14.489320846538298,12.199016437012082,15.51733906396118,20.86614671712987
Capture-Hold,20.0,40.0,30.0,3,7.702887068425767,6.6237116015293225,8.150301806784942,14.968398793569754
Capture-Hold,40.0,60.0,50.0,3,11.4897440173185,9.206892917654699,11.556792690609385,17.97468606367799
Capture-Hold,60.0,80.0,70.0,3,12.497664551584808,10.961928668750566,13.262287799340053,20.322484443229207
Capture-Hold,80.0,100.0,90.0,3,14.532479537020112,12.210368324921667,15.632151248772498,20.857480463274456
EgoAnchor,20.0,40.0,30.0,3,10.056046323524422,8.830369492142596,10.990199759924966,20.355372158075976
EgoAnchor,40.0,60.0,50.0,3,14.439487763957278,11.980405458728598,14.701764044465857,21.78162586690428
EgoAnchor,60.0,80.0,70.0,3,15.589083316055879,13.387937192856782,16.884073977157023,23.862232524506286
EgoAnchor,80.0,100.0,90.0,3,19.019839279886074,15.20364120053432,19.839749550287397,23.224629340433808
One-Euro Anchor,20.0,40.0,30.0,3,11.794000685488307,10.097273238249542,12.187087925469466,19.207929849755136
One-Euro Anchor,40.0,60.0,50.0,3,15.594713486876586,12.728207383823172,15.89363927295841,24.033441289187486
One-Euro Anchor,60.0,80.0,70.0,3,17.191271271812226,14.489908999966373,18.480417142887177,25.828545976713734
One-Euro Anchor,80.0,100.0,90.0,3,20.166412983579505,15.941857514185255,21.58975461276699,25.627679634099856
