period,candidate_count,pose_count,pose_rate_pct,score_median,score_p05,score_p95
baseline,254,224,88.18897637795276,0.9244329631328583,0.0,0.9513663083314896
occ1,49,13,26.53061224489796,0.0,0.0,1.0
occ2,52,13,25.0,0.0,0.0,1.0
occ3,34,14,41.17647058823529,0.0,0.0,1.0
occ4,36,11,30.555555555555557,0.0,0.0,1.0
occ5,43,17,39.53488372093023,0.0,0.0,1.0
occ6,32,13,40.625,0.0,0.0,1.0
occ7,26,10,38.46153846153847,0.0,0.0,0.9866715967655182
recovery1,30,30,100.0,0.9253188967704773,0.8813953518867492,0.9458016574382782
recovery2,35,35,100.0,0.9281356930732727,0.9032884538173676,0.9482915878295898
recovery3,24,24,100.0,0.926193118095398,0.8936362564563751,0.9479538202285767
recovery4,26,26,100.0,0.9380715489387512,0.8967041522264481,0.9491208493709564
recovery5,44,44,100.0,0.9349970817565918,0.9032989174127579,0.9537071704864502
recovery6,24,24,100.0,0.933972179889679,0.9118930965662002,0.946662300825119
recovery7,78,78,100.0,0.8713574707508087,0.6342764794826508,0.9539980620145797
