episode,failure_gt40,frame_increment_p95_mm,method,occlusion_max_mm,occlusion_p95_mm,rotation_lag_ms,rotation_residual_deg,scenario,start_response_ms,static_centered_p95_mm,translation_lag_ms,translation_residual_mm
1,,,Legacy direct,,,,,start_stop_6dof,208.15159999983734,,,
2,,,Legacy direct,,,,,start_stop_6dof,166.08270000004995,,,
3,,,Legacy direct,,,,,start_stop_6dof,208.39780000004976,,,
4,,,Legacy direct,,,,,start_stop_6dof,181.06699999998818,,,
5,,,Legacy direct,,,,,start_stop_6dof,42.20130000022618,,,
6,,,Legacy direct,,,,,start_stop_6dof,270.8988999997964,,,
7,,,Legacy direct,,,,,start_stop_6dof,125.1462999998621,,,
8,,,Legacy direct,,,,,start_stop_6dof,208.7830999998987,,,
9,,,Legacy direct,,,,,start_stop_6dof,188.22009999984584,,,
1,,,Corrected direct,,,,,start_stop_6dof,208.15159999983734,,,
2,,,Corrected direct,,,,,start_stop_6dof,166.08270000004995,,,
3,,,Corrected direct,,,,,start_stop_6dof,154.68839999994088,,,
4,,,Corrected direct,,,,,start_stop_6dof,181.06699999998818,,,
5,,,Corrected direct,,,,,start_stop_6dof,42.20130000022618,,,
6,,,Corrected direct,,,,,start_stop_6dof,167.54959999979474,,,
7,,,Corrected direct,,,,,start_stop_6dof,13.683699999994133,,,
8,,,Corrected direct,,,,,start_stop_6dof,208.7830999998987,,,
9,,,Corrected direct,,,,,start_stop_6dof,188.22009999984584,,,
1,,,Corrected continuous,,,,,start_stop_6dof,242.38680000008026,,,
2,,,Corrected continuous,,,,,start_stop_6dof,207.12640000010288,,,
3,,,Corrected continuous,,,,,start_stop_6dof,250.46289999999863,,,
4,,,Corrected continuous,,,,,start_stop_6dof,242.53270000007615,,,
5,,,Corrected continuous,,,,,start_stop_6dof,63.48640000033629,,,
6,,,Corrected continuous,,,,,start_stop_6dof,270.8988999997964,,,
7,,,Corrected continuous,,,,,start_stop_6dof,138.06189999968046,,,
8,,,Corrected continuous,,,,,start_stop_6dof,215.83680000004824,,,
9,,,Corrected continuous,,,,,start_stop_6dof,397.00389999960316,,,
1,,,Buffered-Hermite,,,,,start_stop_6dof,284.6045999999551,,,
2,,,Buffered-Hermite,,,,,start_stop_6dof,249.32100000023638,,,
3,,,Buffered-Hermite,,,,,start_stop_6dof,272.0911000001215,,,
4,,,Buffered-Hermite,,,,,start_stop_6dof,291.68180000033317,,,
5,,,Buffered-Hermite,,,,,start_stop_6dof,187.473299999976,,,
6,,,Buffered-Hermite,,,,,start_stop_6dof,333.8313999997772,,,
7,,,Buffered-Hermite,,,,,start_stop_6dof,284.6715999999142,,,
8,,,Buffered-Hermite,,,,,start_stop_6dof,270.43719999984023,,,
9,,,Buffered-Hermite,,,,,start_stop_6dof,444.22259999964444,,,
1,0,,Legacy direct,10.148236828004084,9.595864726395954,,,occlusion_recovery,,,,
2,0,,Legacy direct,33.01251792440339,31.25724573064893,,,occlusion_recovery,,,,
3,0,,Legacy direct,9.85020221636242,9.39539675725808,,,occlusion_recovery,,,,
4,0,,Legacy direct,23.716176481415218,22.063040987842303,,,occlusion_recovery,,,,
5,0,,Legacy direct,3.964201874483195,3.7511437920099855,,,occlusion_recovery,,,,
6,0,,Legacy direct,35.721765017710126,33.71524286096885,,,occlusion_recovery,,,,
7,0,,Legacy direct,34.00571973565544,32.13029453681972,,,occlusion_recovery,,,,
8,0,,Legacy direct,6.68703968107485,6.3156829974803665,,,occlusion_recovery,,,,
9,0,,Legacy direct,8.900453693444225,8.39145001842281,,,occlusion_recovery,,,,
1,1,,Corrected direct,55.968202621059184,52.242519713235424,,,occlusion_recovery,,,,
2,1,,Corrected direct,121.73716926692182,112.9523358458603,,,occlusion_recovery,,,,
3,1,,Corrected direct,50.17598760104453,46.86141363578061,,,occlusion_recovery,,,,
4,1,,Corrected direct,100.74758295176689,90.95465598613018,,,occlusion_recovery,,,,
5,0,,Corrected direct,22.239385910299102,20.671513144805406,,,occlusion_recovery,,,,
6,1,,Corrected direct,155.55918774141963,143.6507318182333,,,occlusion_recovery,,,,
7,1,,Corrected direct,160.29103805088275,148.3158111961626,,,occlusion_recovery,,,,
8,0,,Corrected direct,22.642662525255382,21.036233709701325,,,occlusion_recovery,,,,
9,0,,Corrected direct,41.473132854141134,38.405494972826666,,,occlusion_recovery,,,,
1,0,,Corrected continuous,5.027521374622163,5.027521374622144,,,occlusion_recovery,,,,
2,0,,Corrected continuous,17.660635130975944,17.660635130882884,,,occlusion_recovery,,,,
3,0,,Corrected continuous,6.6099070149164945,6.002917890583454,,,occlusion_recovery,,,,
4,0,,Corrected continuous,13.482431931274704,13.482431930498896,,,occlusion_recovery,,,,
5,0,,Corrected continuous,2.6929734978157107,2.4068606605229848,,,occlusion_recovery,,,,
6,0,,Corrected continuous,20.624708912803882,20.624708905897347,,,occlusion_recovery,,,,
7,0,,Corrected continuous,20.224776914343906,20.22477691363727,,,occlusion_recovery,,,,
8,0,,Corrected continuous,5.9450921980208715,4.3057557644139575,,,occlusion_recovery,,,,
9,0,,Corrected continuous,4.650905282485794,4.650905282476418,,,occlusion_recovery,,,,
1,0,,Buffered-Hermite,4.761851270407892,4.685108714770155,,,occlusion_recovery,,,,
2,0,,Buffered-Hermite,17.332053637025968,17.332053637025968,,,occlusion_recovery,,,,
3,0,,Buffered-Hermite,5.530712417099877,5.530712417099877,,,occlusion_recovery,,,,
4,0,,Buffered-Hermite,13.391018808202867,13.391018808202867,,,occlusion_recovery,,,,
5,0,,Buffered-Hermite,2.3298012240324106,2.239711591807376,,,occlusion_recovery,,,,
6,0,,Buffered-Hermite,19.4760591832397,19.4760591832397,,,occlusion_recovery,,,,
7,0,,Buffered-Hermite,17.530695828375762,17.530695828375762,,,occlusion_recovery,,,,
8,0,,Buffered-Hermite,5.145753003279044,3.486982686821104,,,occlusion_recovery,,,,
9,0,,Buffered-Hermite,4.391449428715497,4.391449428715497,,,occlusion_recovery,,,,
1,,,Legacy direct,,,205.0,6.20967050689725,continuous_rotation,,,,
2,,,Legacy direct,,,205.0,5.102038783729821,continuous_rotation,,,,
3,,,Legacy direct,,,190.0,7.047870460725642,continuous_rotation,,,,
4,,,Legacy direct,,,205.0,5.060157478407265,continuous_rotation,,,,
5,,,Legacy direct,,,210.0,5.899092682036982,continuous_rotation,,,,
6,,,Legacy direct,,,185.0,6.219659663293521,continuous_rotation,,,,
7,,,Legacy direct,,,180.0,6.194988744165318,continuous_rotation,,,,
8,,,Legacy direct,,,195.0,7.76682507555623,continuous_rotation,,,,
9,,,Legacy direct,,,185.0,5.6193164981436,continuous_rotation,,,,
10,,,Legacy direct,,,205.0,6.731462394953318,continuous_rotation,,,,
1,,,Corrected direct,,,95.0,8.218368023563329,continuous_rotation,,,,
2,,,Corrected direct,,,95.0,5.927045154905216,continuous_rotation,,,,
3,,,Corrected direct,,,105.0,7.261628316176454,continuous_rotation,,,,
4,,,Corrected direct,,,95.0,5.881816346211739,continuous_rotation,,,,
5,,,Corrected direct,,,100.0,7.6286837649967625,continuous_rotation,,,,
6,,,Corrected direct,,,100.0,7.024242173983168,continuous_rotation,,,,
7,,,Corrected direct,,,90.0,6.546029697246909,continuous_rotation,,,,
8,,,Corrected direct,,,100.0,8.056817115169716,continuous_rotation,,,,
9,,,Corrected direct,,,80.0,6.804225094849157,continuous_rotation,,,,
10,,,Corrected direct,,,120.0,8.074355570907588,continuous_rotation,,,,
1,,,Corrected continuous,,,205.0,6.336967709909094,continuous_rotation,,,,
2,,,Corrected continuous,,,210.0,4.600247018888305,continuous_rotation,,,,
3,,,Corrected continuous,,,215.0,5.959059049250072,continuous_rotation,,,,
4,,,Corrected continuous,,,205.0,4.447843106602351,continuous_rotation,,,,
5,,,Corrected continuous,,,215.0,5.846178421720783,continuous_rotation,,,,
6,,,Corrected continuous,,,215.0,5.363790422348143,continuous_rotation,,,,
7,,,Corrected continuous,,,195.0,5.2986693538964245,continuous_rotation,,,,
8,,,Corrected continuous,,,205.0,6.924513191392788,continuous_rotation,,,,
9,,,Corrected continuous,,,195.0,5.546511206729761,continuous_rotation,,,,
10,,,Corrected continuous,,,225.0,6.240244285163963,continuous_rotation,,,,
1,,,Buffered-Hermite,,,330.0,2.0988075159360045,continuous_rotation,,,,
2,,,Buffered-Hermite,,,330.0,1.9205847123432596,continuous_rotation,,,,
3,,,Buffered-Hermite,,,340.0,2.8475823902446455,continuous_rotation,,,,
4,,,Buffered-Hermite,,,330.0,2.1044545014615434,continuous_rotation,,,,
5,,,Buffered-Hermite,,,330.0,2.773730909884251,continuous_rotation,,,,
6,,,Buffered-Hermite,,,335.0,2.545776081817092,continuous_rotation,,,,
7,,,Buffered-Hermite,,,325.0,2.6711998273159585,continuous_rotation,,,,
8,,,Buffered-Hermite,,,335.0,2.5354088755850883,continuous_rotation,,,,
9,,,Buffered-Hermite,,,330.0,3.6650675184100745,continuous_rotation,,,,
10,,,Buffered-Hermite,,,330.0,3.075957198482202,continuous_rotation,,,,
1,,4.2700844924146315,Legacy direct,,,,,static_head_motion,,26.659161607318286,,
2,,2.484220344462831,Legacy direct,,,,,static_head_motion,,9.575400992394457,,
3,,2.753691097517938,Legacy direct,,,,,static_head_motion,,14.277709273155287,,
4,,1.2184148368770311,Legacy direct,,,,,static_head_motion,,10.998844980542133,,
1,,,Legacy direct,,,,,continuous_translation,,,170.0,12.397521848771046
2,,,Legacy direct,,,,,continuous_translation,,,190.0,20.79431235905458
3,,,Legacy direct,,,,,continuous_translation,,,165.0,20.711211216774934
4,,,Legacy direct,,,,,continuous_translation,,,170.0,29.42135586264785
5,,,Legacy direct,,,,,continuous_translation,,,175.0,26.4405585811215
6,,,Legacy direct,,,,,continuous_translation,,,170.0,26.639385730508057
