experiment_id,scenario_id,condition_id,variant_label,metric_name,trial_count,median,iqr,p95
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,reference_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,display_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,output_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,translation_error_mm_median,4,6.367609706863703,2.105514283399355,8.009905528856272
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,translation_error_mm_iqr,4,4.691769101744811,4.144922059134755,6.825086900154441
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,translation_error_mm_p95,4,13.061317235518775,8.331335879708991,19.656237499582733
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,rotation_error_deg_median,4,6.5082102963261415,3.4374651850934654,8.641277386439308
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,rotation_error_deg_iqr,4,7.24920121086884,3.7262411432347484,8.606906633958717
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,rotation_error_deg_p95,4,16.658420514354326,4.619618655787852,18.965556230765724
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,candidate_arrival_p50_ms,4,166.59977499693923,0.09568750192556763,166.8987025050228
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,candidate_arrival_p95_ms,4,197.30721499799984,7.105045002754167,206.90463999846543
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,candidate_processing_p50_ms,4,75.83224999997765,0.3189249993301928,76.2238100023009
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,candidate_processing_p95_ms,4,87.46630250178276,2.247701248712829,88.62545499943197
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,observation_age_p50_ms,4,48.71425000055751,0.4359499953352497,49.068917496697395
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,observation_age_p95_ms,4,98.66970749935717,0.2960937506031769,98.78858774887703
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,smoothing_delay_p50_ms,4,48.71425000055751,0.4359499953352497,49.068917496697395
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,smoothing_delay_p95_ms,4,98.66970749935717,0.2960937506031769,98.78858774887703
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Arrival-Hold,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,reference_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,display_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,output_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,translation_error_mm_median,4,6.264196844135613,2.0007739196029286,8.075434644428507
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,translation_error_mm_iqr,4,4.432279273510865,4.330543937705492,6.782232122934659
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,translation_error_mm_p95,4,12.60671098764409,7.82567613537595,19.643315545303512
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,rotation_error_deg_median,4,6.519663246811079,3.5005002397915073,8.763461427200221
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,rotation_error_deg_iqr,4,7.208983594385721,3.617442549533422,8.566045050586002
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,rotation_error_deg_p95,4,16.668012833905614,4.639422443818765,19.008252769628047
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,candidate_arrival_p50_ms,4,166.6339749990584,0.09641250198910711,166.9334175012409
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,candidate_arrival_p95_ms,4,197.3469849992398,7.11899375273785,206.94041375172674
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,candidate_processing_p50_ms,4,75.83224999997765,0.3189249993301928,76.2238100023009
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,candidate_processing_p95_ms,4,87.46630250178276,2.247701248712829,88.62545499943197
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,observation_age_p50_ms,4,216.33775000373134,1.4695124973513884,221.20742499882908
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,observation_age_p95_ms,4,271.8672599996353,12.100956253107142,278.22364024921626
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,smoothing_delay_p50_ms,4,216.33775000373134,1.4695124973513884,221.20742499882908
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,smoothing_delay_p95_ms,4,271.8672599996353,12.100956253107142,278.22364024921626
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,Capture-Hold,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,reference_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,display_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,output_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,translation_error_mm_median,4,6.803124090073059,3.308344489175159,10.191359724941206
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,translation_error_mm_iqr,4,5.156737007253217,5.886991532222933,8.751119379290037
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,translation_error_mm_p95,4,14.865359567511108,11.805740470349473,22.560018074133485
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,rotation_error_deg_median,4,9.535647849486908,5.523493622217295,12.978264267700434
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,rotation_error_deg_iqr,4,9.268319684410748,4.773758817726014,11.795447043162014
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,rotation_error_deg_p95,4,20.296669138763107,8.599963024751915,25.88329840417191
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_arrival_p50_ms,4,166.66130000157864,0.10125000153493602,166.9639100011409
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_arrival_p95_ms,4,197.39928000162763,7.156062501053356,206.97677350242884
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_processing_p50_ms,4,75.83224999997765,0.3189249993301928,76.2238100023009
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,candidate_processing_p95_ms,4,87.46630250178276,2.247701248712829,88.62545499943197
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,observation_age_p50_ms,4,216.33845000178553,1.4695999989271513,221.2079699987953
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,observation_age_p95_ms,4,271.86795749767043,12.100872504288418,278.224254752804
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,smoothing_delay_p50_ms,4,216.33845000178553,1.4695999989271513,221.2079699987953
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,smoothing_delay_p95_ms,4,271.86795749767043,12.100872504288418,278.224254752804
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,One-Euro Anchor,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,reference_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,display_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,output_coverage,4,1.0,0.0,1.0
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,translation_error_mm_median,4,7.024098080019118,3.022398319317805,9.471072590121038
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,translation_error_mm_iqr,4,5.149287009936099,5.179935014495653,8.08484196598861
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,translation_error_mm_p95,4,14.403674902041345,9.986283050234793,23.359793443594825
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,rotation_error_deg_median,4,8.492553026862385,4.903008571916889,12.022005555417609
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,rotation_error_deg_iqr,4,9.038131047127212,3.6486252102302457,10.628863361044395
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,rotation_error_deg_p95,4,20.927348979492105,4.82894916691161,22.719054595905828
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_arrival_p50_ms,4,166.51694999745814,0.09247499838238582,166.8142450016603
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_arrival_p95_ms,4,197.21008499946038,7.088412500979729,206.82204850012567
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_processing_p50_ms,4,75.83224999997765,0.3189249993301928,76.2238100023009
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,candidate_processing_p95_ms,4,87.46630250178276,2.247701248712829,88.62545499943197
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,observation_age_p50_ms,4,216.32660000250326,1.4692249978907057,221.19671749842382
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,observation_age_p95_ms,4,271.85644749934,12.100990005819767,278.21127925368273
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,smoothing_delay_p50_ms,4,282.86899626255035,4.036523401737213,288.7002497911453
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,smoothing_delay_p95_ms,4,305.80021515488625,25.909453257918358,323.4992776811123
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,visual_perception_hz,4,9.59061017677408,0.04511996688853692,9.630780745491538
exp1_system_characterization,continuous_rotation,exp1_system_characterization/continuous_rotation,EgoAnchor,render_hz,4,69.81352938956937,0.47310407190154535,70.81834488881645
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,reference_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,display_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,output_coverage,19,1.0,0.0,1.0
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,translation_error_mm_median,19,43.76052490137072,8.494138367102494,58.623597832745226
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,translation_error_mm_iqr,19,24.745533336671155,10.343458043787969,37.162055761531235
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,translation_error_mm_p95,19,73.96147369220625,15.426193360004348,102.03628731209778
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,rotation_error_deg_median,19,3.7896526947772995,1.9201940573012317,6.492394330415077
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,rotation_error_deg_iqr,19,1.795123752661648,1.3800894085433724,7.439485539562019
exp1_system_characterization,continuous_translation,exp1_system_characterization/continuous_translation,Arrival-Hold,rotation_error_deg_p95,19,6.6287000569828685,2.900005554814424,63.351705327765686
