session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,render_tick_count,variant_count,reference_coverage,passed,reason
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,1035,4,1.0,True,
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,988,4,1.0,True,
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,1120,4,1.0,True,
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_003,exp1_system_characterization/static_head_motion,1294,4,1.0,True,
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_004,exp1_system_characterization/static_head_motion,1297,4,1.0,True,
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,577,4,1.0,True,
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,1065,4,1.0,True,
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_002,exp1_system_characterization/start_stop_6dof,1313,4,1.0,True,
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_003,exp1_system_characterization/start_stop_6dof,948,4,1.0,True,
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_004,exp1_system_characterization/start_stop_6dof,1262,4,1.0,True,
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_005,exp1_system_characterization/start_stop_6dof,847,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,,exp1_system_characterization/continuous_translation,1817,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_001,exp1_system_characterization/continuous_translation,162,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_002,exp1_system_characterization/continuous_translation,112,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_003,exp1_system_characterization/continuous_translation,153,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_004,exp1_system_characterization/continuous_translation,125,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_005,exp1_system_characterization/continuous_translation,146,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_006,exp1_system_characterization/continuous_translation,144,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_007,exp1_system_characterization/continuous_translation,161,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_008,exp1_system_characterization/continuous_translation,130,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_009,exp1_system_characterization/continuous_translation,106,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_010,exp1_system_characterization/continuous_translation,138,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_011,exp1_system_characterization/continuous_translation,98,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_012,exp1_system_characterization/continuous_translation,115,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_013,exp1_system_characterization/continuous_translation,121,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_014,exp1_system_characterization/continuous_translation,107,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_015,exp1_system_characterization/continuous_translation,144,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_016,exp1_system_characterization/continuous_translation,146,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_017,exp1_system_characterization/continuous_translation,137,4,1.0,True,
20260717_204156_controller_right,exp1_system_characterization,continuous_translation,trial_001,event_018,exp1_system_characterization/continuous_translation,481,4,1.0,True,
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,,exp1_system_characterization/continuous_rotation,1021,4,1.0,True,
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_001,exp1_system_characterization/continuous_rotation,1569,4,1.0,True,
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_002,exp1_system_characterization/continuous_rotation,1350,4,1.0,True,
20260717_204943_controller_right,exp1_system_characterization,continuous_rotation,trial_001,event_003,exp1_system_characterization/continuous_rotation,1652,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,,exp1_system_characterization/occlusion_recovery,1625,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_001,exp1_system_characterization/occlusion_recovery,237,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_002,exp1_system_characterization/occlusion_recovery,207,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_003,exp1_system_characterization/occlusion_recovery,256,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_004,exp1_system_characterization/occlusion_recovery,243,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_005,exp1_system_characterization/occlusion_recovery,204,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_006,exp1_system_characterization/occlusion_recovery,162,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_007,exp1_system_characterization/occlusion_recovery,223,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_008,exp1_system_characterization/occlusion_recovery,182,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_009,exp1_system_characterization/occlusion_recovery,245,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_010,exp1_system_characterization/occlusion_recovery,287,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_011,exp1_system_characterization/occlusion_recovery,212,4,1.0,True,
20260717_205539_controller_right,exp1_system_characterization,occlusion_recovery,trial_001,event_012,exp1_system_characterization/occlusion_recovery,166,4,1.0,True,
